,zipcode,num_felony,num_violation,num_misdemeanor,most_freq_ofns_desc,most_freq_loc_occur,most_freq_prem_type,most_freq_susp_age_group,most_freq_susp_race,most_freq_susp_sex,most_freq_vic_age_group,most_freq_vic_race,most_freq_vic_sex,num_total_crimes
131,11360,187,63,163,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,413
132,11361,523,152,486,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,WHITE,M,1161
133,11362,232,76,228,GRAND LARCENY,FRONT OF,RESIDENCE-HOUSE,(null),(null),(null),25-44,WHITE,M,536
134,11363,86,42,69,HARRASSMENT 2,INSIDE,RESIDENCE-HOUSE,UNKNOWN,UNKNOWN,M,25-44,WHITE,M,197
135,11364,459,141,407,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,(null),(null),(null),25-44,ASIAN / PACIFIC ISLANDER,M,1007
136,11365,619,303,904,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,ASIAN / PACIFIC ISLANDER,F,1826
137,11366,194,85,251,PETIT LARCENY,INSIDE,RESIDENCE-HOUSE,UNKNOWN,(null),M,25-44,WHITE,M,530
138,11367,523,308,905,PETIT LARCENY,INSIDE,STREET,UNKNOWN,(null),M,25-44,WHITE,F,1736
139,11368,1854,740,2388,ASSAULT 3 & RELATED OFFENSES,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,25-44,WHITE HISPANIC,M,4982
140,11369,740,317,1574,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,UNKNOWN,WHITE HISPANIC,M,2631
141,11370,412,145,547,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,1104
142,11372,1305,501,1977,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,25-44,WHITE HISPANIC,M,3783
143,11373,1768,672,3172,PETIT LARCENY,INSIDE,STREET,UNKNOWN,WHITE HISPANIC,M,UNKNOWN,WHITE HISPANIC,M,5612
144,11374,521,245,1092,PETIT LARCENY,INSIDE,RESIDENCE - APT. HOUSE,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,D,1858
145,11375,715,352,1722,PETIT LARCENY,INSIDE,STREET,UNKNOWN,UNKNOWN,M,UNKNOWN,UNKNOWN,M,2789
146,11377,1316,566,1937,PETIT LARCENY,INSIDE,STREET,UNKNOWN,(null),M,25-44,WHITE HISPANIC,M,3819
147,11378,602,234,704,PETIT LARCENY,INSIDE,STREET,(null),(null),(null),25-44,WHITE,M,1540
148,11379,350,171,516,PETIT LARCENY,INSIDE,STREET,(null),(null),M,25-44,WHITE,M,1037
